"taxon_name","group","class","order","family","Abbreviation","Agility","PhysicalProtection","Metabolites","above","epi","hemi","eu"
"Amphidelus","Nematodes","Enoplea","Enoplida","Alaimidae","Ne-B",1,1,1,0,0,1,1
"Cervidellus","Nematodes","Chromadorea","Rhabditida","Cephalobidae","Ne-B",1,1,1,0,0,1,1
"Eumonhystera","Nematodes","Chromadorea","Monhysterida","Monhysteridae","Ne-B",1,1,1,0,0,1,1
"Prismatolaimus","Nematodes","Enoplea","Triplonchida","Prismatolaimidae","Ne-B",1,1,1,0,0,1,1
"Bastiania","Nematodes","Enoplea","Triplonchida","Bastianiidae","Ne-B",1,1,1,0,0,1,1
"Rhabdolaimus","Nematodes","Enoplea","Enoplida","Rhabdolaimidae","Ne-B",1,1,1,0,0,1,1
"Acrobeloides","Nematodes","Chromadorea","Rhabditida","Cephalobidae","Ne-B",1,1,1,0,0,1,1
"Paramphidelus","Nematodes","Enoplea","Enoplida","Alaimidae","Ne-B",1,1,1,0,0,1,1
"Acrolobus","Nematodes","Chromadorea","Rhabditida","Cephalobidae","Ne-B",1,1,1,0,0,1,1
"Eucephalobus","Nematodes","Chromadorea","Rhabditida","Cephalobidae","Ne-B",1,1,1,0,0,1,1
"Panagrolaimus","Nematodes","Chromadorea","Rhabditida","Panagrolaimidae","Ne-B",1,1,1,0,0,1,1
"Prodesmodora","Nematodes","Chromadorea","Microlaimida","Microlaimidae","Ne-B",1,1,1,0,0,1,1
"Alaimus","Nematodes","Enoplea","Enoplida","Alaimidae","Ne-B",1,1,1,0,0,1,1
"Tylocephalus","Nematodes","Chromadorea","Plectida","Plectidae","Ne-B",1,1,1,0,0,1,1
"Chiloplacus","Nematodes","Chromadorea","Rhabditida","Cephalobidae","Ne-B",1,1,1,0,0,1,1
"Acrobeles","Nematodes","Chromadorea","Rhabditida","Cephalobidae","Ne-B",1,1,1,0,0,1,1
"Cephalobus","Nematodes","Chromadorea","Rhabditida","Cephalobidae","Ne-B",1,1,1,0,0,1,1
"Protorhabditis","Nematodes","Chromadorea","Rhabditida","Rhabditidae","Ne-B",1,1,1,0,0,1,1
"Desmoscolex","Nematodes","Chromadorea","Desmoscolecida","Desmoscolecidae","Ne-B",1,1,1,0,0,1,1
"Aulolaimus","Nematodes","Chromadorea","Plectida","Aulolaimidae","Ne-B",1,1,1,0,0,1,1
"Plectus","Nematodes","Chromadorea","Plectida","Plectidae","Ne-B",1,1,1,0,0,1,1
"Heterocephalobus","Nematodes","Chromadorea","Rhabditida","Cephalobidae","Ne-B",1,1,1,0,0,1,1
"Microlaimus","Nematodes","Chromadorea","Microlaimida","Microlaimidae","Ne-B",1,1,1,0,0,1,1
"Anaplectus","Nematodes","Chromadorea","Plectida","Plectidae","Ne-B",1,1,1,0,0,1,1
"Cylindrolaimus","Nematodes","Chromadorea","Araeolaimida","Diplopeltidae","Ne-B",1,1,1,0,0,1,1
"Mesorhabditis","Nematodes","Chromadorea","Rhabditida","Rhabditidae","Ne-B",1,1,1,0,0,1,1
"Monhystera","Nematodes","Chromadorea","Monhysterida","Monhysteridae","Ne-B",1,1,1,0,0,1,1
"Rhabditophanes","Nematodes","Chromadorea","Rhabditida","Alloionematidae","Ne-B",1,1,1,0,0,1,1
"Rhabditis","Nematodes","Chromadorea","Rhabditida","Rhabditidae","Ne-B",1,1,1,0,0,1,1
"Pelodera","Nematodes","Chromadorea","Rhabditida","Rhabditidae","Ne-B",1,1,1,0,0,1,1
"Aphelenchoides","Nematodes","Chromadorea","Rhabditida","Aphelenchoididae","Ne-F",1,1,1,0,0,1,1
"Ditylenchus","Nematodes","Chromadorea","Rhabditida","Anguinidae","Ne-F",1,1,1,0,0,1,1
"Filenchus","Nematodes","Chromadorea","Rhabditida","Tylenchidae","Ne-F",1,1,1,0,0,1,1
"Aphelenchus","Nematodes","Chromadorea","Rhabditida","Aphelenchidae","Ne-F",1,1,1,0,0,1,1
"Diphtherophora","Nematodes","Enoplea","Triplonchida","Diphtherophoridae","Ne-F",1,1,1,0,0,1,1
"Tylencholaimus","Nematodes","Enoplea","Dorylaimida","Tylencholaimidae","Ne-F",1,1,1,0,0,1,1
"Tylolaimophorus","Nematodes","Enoplea","Triplonchida","Diphtherophoridae","Ne-F",1,1,1,0,0,1,1
"Tylencholaimellus","Nematodes","Enoplea","Dorylaimida","Tylencholaimellidae","Ne-F",1,1,1,0,0,1,1
"Ecphyadophora","Nematodes","Chromadorea","Rhabditida","Ecphyadophoridae","Ne-H",1,1,1,0,0,1,1
"Lelenchus","Nematodes","Chromadorea","Rhabditida","Ecphyadophoridae","Ne-H",1,1,1,0,0,1,1
"Tylenchus","Nematodes","Chromadorea","Rhabditida","Tylenchidae","Ne-H",1,1,1,0,0,1,1
"Paratylenchus","Nematodes","Chromadorea","Rhabditida","Tylenchulidae","Ne-H",1,1,1,0,0,1,1
"Malenchus","Nematodes","Chromadorea","Rhabditida","Tylenchidae","Ne-H",1,1,1,0,0,1,1
"Meloidogyne","Nematodes","Chromadorea","Rhabditida","Meloidogynidae","Ne-H",1,1,1,0,0,1,1
"Pratylenchus","Nematodes","Chromadorea","Rhabditida","Pratylenchidae","Ne-H",1,1,1,0,0,1,1
"Miculenchus","Nematodes","Chromadorea","Rhabditida","Tylenchidae","Ne-H",1,1,1,0,0,1,1
"Boleodorus","Nematodes","Chromadorea","Rhabditida","Tylenchidae","Ne-H",1,1,1,0,0,1,1
"Cephalenchus","Nematodes","Chromadorea","Rhabditida","Tylenchidae","Ne-H",1,1,1,0,0,1,1
"Coslenchus","Nematodes","Chromadorea","Rhabditida","Tylenchidae","Ne-H",1,1,1,0,0,1,1
"Zygotylenchus","Nematodes","Chromadorea","Rhabditida","Pratylenchidae","Ne-H",1,1,1,0,0,1,1
"Basiria","Nematodes","Chromadorea","Rhabditida","Tylenchidae","Ne-H",1,1,1,0,0,1,1
"Psilenchus","Nematodes","Chromadorea","Rhabditida","Tylenchidae","Ne-H",1,1,1,0,0,1,1
"Tylenchorhynchus","Nematodes","Chromadorea","Rhabditida","Telotylenchidae","Ne-H",1,1,1,0,0,1,1
"Neopsilenchus","Nematodes","Chromadorea","Rhabditida","Tylenchidae","Ne-H",1,1,1,0,0,1,1
"Hoplotylus","Nematodes","Chromadorea","Rhabditida","Pratylenchidae","Ne-H",1,1,1,0,0,1,1
"Helicotylenchus","Nematodes","Chromadorea","Rhabditida","Hoplolaimidae","Ne-H",1,1,1,0,0,1,1
"Trichodorus","Nematodes","Enoplea","Triplonchida","Trichodoridae","Ne-H",1,1,1,0,0,1,1
"Merlinius","Nematodes","Chromadorea","Rhabditida","Merliniidae","Ne-H",1,1,1,0,0,1,1
"Dorylaimellus","Nematodes","Enoplea","Dorylaimida","Belondiridae","Ne-H",1,1,1,0,0,1,1
"Paratrichodorus","Nematodes","Enoplea","Triplonchida","Trichodoridae","Ne-H",1,1,1,0,0,1,1
"Paratrophurus","Nematodes","Chromadorea","Rhabditida","Telotylenchidae","Ne-H",1,1,1,0,0,1,1
"Hemicriconemoides","Nematodes","Chromadorea","Rhabditida","Criconematidae","Ne-H",1,1,1,0,0,1,1
"Rotylenchus","Nematodes","Chromadorea","Rhabditida","Hoplolaimidae","Ne-H",1,1,1,0,0,1,1
"Bitylenchus","Nematodes","Chromadorea","Rhabditida","Telotylenchidae","Ne-H",1,1,1,0,0,1,1
"Mesocriconema","Nematodes","Chromadorea","Rhabditida","Criconematidae","Ne-H",1,1,1,0,0,1,1
"Geocenamus","Nematodes","Chromadorea","Rhabditida","Merliniidae","Ne-H",1,1,1,0,0,1,1
"Longidorella","Nematodes","Enoplea","Dorylaimida","Nordiidae","Ne-H",1,1,1,0,0,1,1
"Criconema","Nematodes","Chromadorea","Rhabditida","Criconematidae","Ne-H",1,1,1,0,0,1,1
"Criconemoides","Nematodes","Chromadorea","Rhabditida","Criconematidae","Ne-H",1,1,1,0,0,1,1
"Hemicycliophora","Nematodes","Chromadorea","Rhabditida","Hemicycliophoridae","Ne-H",1,1,1,0,0,1,1
"Rotylenchulus","Nematodes","Chromadorea","Rhabditida","Hoplolaimidae","Ne-H",1,1,1,0,0,1,1
"Axonchium","Nematodes","Enoplea","Dorylaimida","Belondiridae","Ne-H",1,1,1,0,0,1,1
"Longidorus","Nematodes","Enoplea","Dorylaimida","Longidoridae","Ne-H",1,1,1,0,0,1,1
"Xiphinema","Nematodes","Enoplea","Dorylaimida","Longidoridae","Ne-H",1,1,1,0,0,1,1
"Microdorylaimus","Nematodes","Enoplea","Dorylaimida","Qudsianematidae","Ne-O",1,1,1,0,0,1,1
"Campydora","Nematodes","Enoplea","Enoplida","Campydoridae","Ne-O",1,1,1,0,0,1,1
"Dorydorella","Nematodes","Enoplea","Dorylaimida","Nordiidae","Ne-O",1,1,1,0,0,1,1
"Dorylaimoides","Nematodes","Enoplea","Dorylaimida","Mydonomidae","Ne-O",1,1,1,0,0,1,1
"Prodorylaimus","Nematodes","Enoplea","Dorylaimida","Dorylaimidae","Ne-O",1,1,1,0,0,1,1
"Ecumenicus","Nematodes","Enoplea","Dorylaimida","Qudsianematidae","Ne-O",1,1,1,0,0,1,1
"Discolaimium","Nematodes","Enoplea","Dorylaimida","Qudsianematidae","Ne-O",1,1,1,0,0,1,1
"Epidorylaimus","Nematodes","Enoplea","Dorylaimida","Qudsianematidae","Ne-O",1,1,1,0,0,1,1
"Pungentus","Nematodes","Enoplea","Dorylaimida","Nordiidae","Ne-O",1,1,1,0,0,1,1
"Chrysonema","Nematodes","Enoplea","Dorylaimida","Qudsianematidae","Ne-O",1,1,1,0,0,1,1
"Thornia","Nematodes","Enoplea","Dorylaimida","Qudsianematidae","Ne-O",1,1,1,0,0,1,1
"Mesodorylaimus","Nematodes","Enoplea","Dorylaimida","Dorylaimidae","Ne-O",1,1,1,0,0,1,1
"Eudorylaimus","Nematodes","Enoplea","Dorylaimida","Qudsianematidae","Ne-O",1,1,1,0,0,1,1
"Discolaimus","Nematodes","Enoplea","Dorylaimida","Qudsianematidae","Ne-O",1,1,1,0,0,1,1
"Enchodelus","Nematodes","Enoplea","Dorylaimida","Nordiidae","Ne-O",1,1,1,0,0,1,1
"Allodorylaimus","Nematodes","Enoplea","Dorylaimida","Qudsianematidae","Ne-O",1,1,1,0,0,1,1
"Aporcelaimellus","Nematodes","Enoplea","Dorylaimida","Aporcelaimidae","Ne-O",1,1,1,0,0,1,1
"Paraxonchium","Nematodes","Enoplea","Dorylaimida","Aporcelaimidae","Ne-O",1,1,1,0,0,1,1
"Laimydorus","Nematodes","Enoplea","Dorylaimida","Dorylaimidae","Ne-O",1,1,1,0,0,1,1
"Sectonema","Nematodes","Enoplea","Dorylaimida","Aporcelaimidae","Ne-O",1,1,1,0,0,1,1
"Aporcelaimus","Nematodes","Enoplea","Dorylaimida","Aporcelaimidae","Ne-O",1,1,1,0,0,1,1
"Achromadora","Nematodes","Chromadorea","Chromadorida","Cyatholaimidae","Ne-P",1,1,1,0,0,1,1
"Mylonchulus","Nematodes","Enoplea","Mononchida","Mylonchulidae","Ne-P",1,1,1,0,0,1,1
"Tripyla","Nematodes","Enoplea","Triplonchida","Tripylidae","Ne-P",1,1,1,0,0,1,1
"Mononchus","Nematodes","Enoplea","Mononchida","Mononchidae","Ne-P",1,1,1,0,0,1,1
"Clarkus","Nematodes","Enoplea","Mononchida","Mononchidae","Ne-P",1,1,1,0,0,1,1
"Oxydirus","Nematodes","Enoplea","Dorylaimida","Belondiridae","Ne-P",1,1,1,0,0,1,1
"Thonus","Nematodes","Enoplea","Dorylaimida","Qudsianematidae","Ne-P",1,1,1,0,0,1,1
"Anatonchus","Nematodes","Enoplea","Mononchida","Anatonchidae","Ne-P",1,1,1,0,0,1,1
"Miconchus","Nematodes","Enoplea","Mononchida","Anatonchidae","Ne-P",1,1,1,0,0,1,1
"Nygolaimus","Nematodes","Enoplea","Dorylaimida","Nygolaimidae","Ne-P",1,1,1,0,0,1,1
"Coomansus","Nematodes","Enoplea","Mononchida","Mononchidae","Ne-P",1,1,1,0,0,1,1
"Granonchulus","Nematodes","Enoplea","Mononchida","Mononchidae","Ne-P",1,1,1,0,0,1,1
"Labronema","Nematodes","Enoplea","Dorylaimida","Qudsianematidae","Ne-P",1,1,1,0,0,1,1
"Prionchulus","Nematodes","Enoplea","Mononchida","Mononchidae","Ne-P",1,1,1,0,0,1,1
"Blattisociidae","mesofauna","Arachnida","Mesostigmata","Blattisociidae","Me",1,0.7,1,0,0,1,0.5
"Laelapidae","mesofauna","Arachnida","Mesostigmata","Laelapidae","Me",1,0.7,1,0,0,1,0.5
"Macrochelidae","mesofauna","Arachnida","Mesostigmata","Macrochelidae","Me",1,0.7,1,0,0,1,0.5
"Parasitidae","mesofauna","Arachnida","Mesostigmata","Parasitidae","Me",1,0.7,1,0,0,1,0.5
"Rhodacaridae","mesofauna","Arachnida","Mesostigmata","Rhodacaridae","Me",1,0.7,1,0,0,1,0.5
"Veigaiidae","mesofauna","Arachnida","Mesostigmata","Veigaiidae","Me",1,0.7,1,0,0,1,0.5
"Gamasina_juv","mesofauna","Arachnida","Mesostigmata",NA,"Me",1,0.7,1,0,0,1,0.5
"Acaridae","mesofauna","Arachnida","Sarcoptiformes","Acaridae","Ast",1,1,1,0,0,1,0.5
"Astegistidae","mesofauna","Arachnida","Sarcoptiformes","Astegistidae","Ori-M",1,0.4,0.7,0,0,1,0.5
"Autognethidae","mesofauna","Arachnida","Sarcoptiformes","Autognethidae","Ori-M",1,0.4,0.7,0,0,1,0.5
"Brachychthoniidae","mesofauna","Arachnida","Sarcoptiformes","Brachychthoniidae","Ori",1,0.4,0.7,0,0,1,0.5
"Ceratozetidae","mesofauna","Arachnida","Sarcoptiformes","Ceratozetidae","Ori",1,0.4,0.7,0,0,1,0.5
"Euphthiracaridae","mesofauna","Arachnida","Sarcoptiformes","Euphthiracaridae","Ori-M",1,0.4,0.7,0,0,1,0.5
"Hypochthoniidae","mesofauna","Arachnida","Sarcoptiformes","Hypochthoniidae","Ori-C",1,0.4,0.7,0,0,1,0.5
"Oppiidae","mesofauna","Arachnida","Sarcoptiformes","Oppiidae","Ori-C",1,0.4,0.7,0,0,1,0.5
"Oribatulidae","mesofauna","Arachnida","Sarcoptiformes","Oribatulidae","Ori-M",1,0.4,0.7,0,0,1,0.5
"Protoribatidae","mesofauna","Arachnida","Sarcoptiformes","Protoribatidae","Ori-M",1,0.4,0.7,0,0,1,0.5
"Scheloribatidae","mesofauna","Arachnida","Sarcoptiformes","Scheloribatidae","Ori",1,0.4,0.7,0,0,1,0.5
"Tectocepheidae","mesofauna","Arachnida","Sarcoptiformes","Tectocepheidae","Ori",1,0.4,0.7,0,0,1,0.5
"Oribatida_juv","mesofauna","Arachnida","Sarcoptiformes",NA,"Ori",1,0.4,0.7,0,0,1,0.5
"Eupodidae","mesofauna","Arachnida","Trombidiformes","Eupodidae","Prost",1,0.7,1,0,0.5,1,0.5
"Penthaleidae","mesofauna","Arachnida","Trombidiformes","Penthaleidae","Prost",1,0.7,1,0,0.5,1,0.5
"Pygmephoridae","mesofauna","Arachnida","Trombidiformes","Pygmephoridae","Prost",1,0.7,1,0,0.5,1,0.5
"Rhagidiidae","mesofauna","Arachnida","Trombidiformes","Rhagidiidae","Prost",1,0.7,1,0,0.5,1,0.5
"Scutacaridae","mesofauna","Arachnida","Trombidiformes","Scutacaridae","Prost",1,0.7,1,0,0.5,1,0.5
"Stigmaeidae","mesofauna","Arachnida","Trombidiformes","Stigmaeidae","Prost",1,0.7,1,0,0.5,1,0.5
"Tydaeidae","mesofauna","Arachnida","Trombidiformes","Tydaeidae","Prost",1,0.7,1,0,0.5,1,0.5
"Prostigmata_juv_undet","mesofauna","Arachnida","Trombidiformes",NA,"Prost",1,0.7,1,0,0.5,1,0.5
"Entomobryidae_large","mesofauna","Collembola","Entomobryomorpha","Entomobryidae","Cla-A",0.7,1,1,0.5,1,0.5,0
"Entomobryidae_medium","mesofauna","Collembola","Entomobryomorpha","Entomobryidae","Cla-A",0.7,1,1,0.5,1,0.5,0
"Isotomidae_large","mesofauna","Collembola","Entomobryomorpha","Isotomidae","Cla-A",0.7,1,1,0.5,1,0.5,0
"Isotomidae_medium","mesofauna","Collembola","Entomobryomorpha","Isotomidae","Cla-D",0.7,1,1,0,0,1,0.5
"Isotomidae_small","mesofauna","Collembola","Entomobryomorpha","Isotomidae","Cla-D",0.7,1,1,0,0,1,0.5
"Neelidae","mesofauna","Collembola","Neelipleona","Neelidae","Cla-D",0.7,1,1,0,0,1,0.5
"Hypogastruridae","mesofauna","Collembola","Poduromorpha","Hypogastruridae","Cla",0.7,1,1,0,1,1,1
"Onychiuridae","mesofauna","Collembola","Poduromorpha","Onychiuridae","Cla-On",1,1,0.4,0,0,1,1
"Tullbergiidae","mesofauna","Collembola","Poduromorpha","Tullbergiidae","Cla-On",1,1,0.4,0,0,1,1
"Arrhopalitidae","mesofauna","Collembola","Symphypleona","Arrhopalitidae","Cla-D",0.7,1,1,0,0,1,0.5
"Katiannidae","mesofauna","Collembola","Symphypleona","Katiannidae","Cla-A",0.7,1,1,0.5,1,0.5,0
"Sminthurididae","mesofauna","Collembola","Symphypleona","Sminthurididae","Cla-A",0.7,1,1,0.5,1,0.5,0
"Pauropoda","mesofauna","Pauropoda","Tetramerocerata","Pauropodidae","Pau",1,1,1,0,0,1,1
"Protura","mesofauna","Protura","Protura","Eosentomidae","Protu",1,1,1,0,0,1,1
"Symphyla","mesofauna","Symphyla","Symphyla",NA,"Sym",1,1,0.4,0,0,1,1
"Linyphiidae_ad","macrofauna","Arachnida","Araneae","Linyphiidae","Ar-La-We",1,1,1,0,1,0.5,0
"Linyphiidae_juv","macrofauna","Arachnida","Araneae","Linyphiidae","Ar-Sm-We",1,1,1,0,0.5,1,0
"Geophilidae","macrofauna","Chilopoda","Geophilomorpha","Geophilidae","Chi-Ge",1,1,1,0,0,1,1
"Schendylidae","macrofauna","Chilopoda","Geophilomorpha","Schendylidae","Chi-Ge",1,1,1,0,0,1,1
"Lithobiidae_large","macrofauna","Chilopoda","Lithobiomorpha","Lithobiidae","Chi-Li",1,1,1,0,0.5,1,0
"Lithobiidae_small","macrofauna","Chilopoda","Lithobiomorpha","Lithobiidae","Chi-Li",1,1,1,0,0.5,1,0
"Blaniulidae_large","macrofauna","Diplopoda","Julida","Blaniulidae","Dpod",1,0.4,0.7,0,1,1,0.5
"Blaniulidae_small","macrofauna","Diplopoda","Julida","Blaniulidae","Dpod",1,0.4,0.7,0,1,1,0.5
"Julidae","macrofauna","Diplopoda","Julida","Julidae","Dpod",1,0.4,0.7,0,1,1,0.5
"Polydesmidae_large","macrofauna","Diplopoda","Polydesmida","Polydesmidae","Dpod-L",1,0.4,0.7,0,1,1,0
"Polydesmidae_small","macrofauna","Diplopoda","Polydesmida","Polydesmidae","Dpod-L",1,0.4,0.7,0,1,1,0
"Campodeidae","macrofauna","Diplura","Diplura","Campodeidae","Dplu-D",1,1,1,0,0,1,1
"Ferussaciidae","macrofauna","Gastropoda","Stylommatophora","Ferussaciidae","Ga-Sn",1,0.4,0.4,0.5,1,1,0
"Valloniidae","macrofauna","Gastropoda","Stylommatophora","Valloniidae","Ga-Sn",1,0.4,0.4,0.5,1,1,0
"Curculionidae_ad","macrofauna","Insecta","Coleoptera","Curculionidae","Cpt-H-H",1,0.4,1,0,0,1,1
"Elateridae_larva","macrofauna","Insecta","Coleoptera","Elateridae","Cpt-O",1,0.4,1,0,0,1,1
"Staphylinidae_ad","macrofauna","Insecta","Coleoptera","Staphylinidae","Cpt-P-Sta",1,0.4,0.4,1,1,1,1
"Chironomidae_ad","macrofauna","Insecta","Diptera","Chironomidae","Dipt-M",1,1,1,1,0.5,1,0
"Nematocera_larva","macrofauna","Insecta","Diptera",NA,"Dipt",1,1,1,1,1,1,0
"Aphididae","macrofauna","Insecta","Hemiptera","Aphididae","He-Ste",1,0.7,0.7,0,1,1,1
"Coccidae","macrofauna","Insecta","Hemiptera","Coccidae","He-Ste",1,0.7,0.7,0,1,1,1
